Track URI,Track Name,Album Name,Artist Name(s),Credit,Release Date,Record Label
spotify:track:6rEshYQE7YAcEHeFoPdTFc,ANTHRO,Real Blade(TYPE-A),UNBS,編曲,2020-09-09,VORTex
spotify:track:3EoN5k7Vuhsx4SN9WSTikO,Past perfume,Real Blade(TYPE-A),UNBS,編曲,2020-09-09,VORTex
spotify:track:225Ka7WB85mMrUhVNWiBgL,Real Blade,Real Blade(TYPE-A),UNBS,編曲,2020-09-09,VORTex
spotify:track:5GvoC6oPzznkSaprZkGpit,YNDR,Real Blade(TYPE-B),UNBS,編曲,2020-09-09,VORTex
spotify:track:5lNrLEdG4LsdJjUtwTVVL0,B.R.W,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:5rJkHxT6LkWqPFlIItyOGT,お疲れSUMMERDAY,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:1cL91DlXpZvqyKAxO53ps0,キラキラ,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:11S42sFkMBREwDp59niG87,ダイナマイトポップコーンエレクトロ,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:5Qoz14OnX38UoVm6we7Nkr,ドキドキLOVE,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:6mMIOUFxYG8BpeD8vbu3Ap,トキメキ☆UPローチ,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:5IC5FD1cVnv5rS1OEjfmgc,ミラクルトレイン,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:7ofZ1GbNRUgAuzhtPOWtUQ,愛をゲッチュ,トキメキ☆UPローチ,UPローチ,作曲　編曲,2020-11-23,PLUS LABEL
spotify:track:6WGHjJiMQCPON7b9ZmhAWo,踊れマスカレード,存在証明,MeltnooM,作曲　編曲,2021-02-01,Initial Voice Records
spotify:track:6cdnMFkhEN8tV5fxNdn9em,YNBK,YNBK,UNBS,編曲,2021-06-30,Vortex Records
spotify:track:0spfQyEryy4yPeRNjb35LY,Wild Fractal,この道の先に,アイドル諜報機関LEVEL7,作曲　編曲,2021-07-21,アイドル諜報機関LEVEL7
spotify:track:5ZgZjKk2LBCSURYczv3ooa,この道の先に,この道の先に,アイドル諜報機関LEVEL7,作曲　編曲,2021-07-21,アイドル諜報機関LEVEL7
spotify:track:5tlZKLw7mkeq37CpoDEM3B,僕らの背景,この道の先に,アイドル諜報機関LEVEL7,作曲　編曲,2021-07-21,アイドル諜報機関LEVEL7
spotify:track:6r6wouCS0cC1vIGe3DRXF9,明日へのFanfare,この道の先に,アイドル諜報機関LEVEL7,作曲　編曲,2021-07-21,アイドル諜報機関LEVEL7
spotify:track:2hTtSIlHmH7YBkGAGWFV0I,約束Only you,約束Only you,LOVE SPEARS,作曲　編曲,2021-08-18,LOVE SPEARS
spotify:track:7GRwfrOMLeFdLWmZWe16fX,スキラブ♡,スキラブ♡,RUN WiTH YOU,作曲　編曲,2021-08-18,RUN WiTH YOU
spotify:track:6IKJb5o68ssiZP8701ablO,ドキ☆パレ,ドキ☆パレ,RUN WiTH YOU,作曲　編曲,2021-11-03,RUN WiTH YOU
spotify:track:5S1KAymH9MuVGRds6vxfhn,キミと僕の未来図,キミと僕の未来図,LOVE SPEARS,作曲　編曲,2021-12-15,LOVE SPEARS
spotify:track:1rGoGWyrXZ9nudB5yeUKdq,SAKURA-愛するのは君だけでした-,SAKURA-愛するのは君だけでした-,七星七愛,編曲,2022-05-25,Vortex Records
spotify:track:7xoJf7vUsZ7Uyx5YWhazgW,emperor,emperor,蓋然性オルトイズム,編曲,2022-06-15,Vortex Records
spotify:track:0cQLRv1hthS35CvT3IL2gA,TO BE ALIVE!!~夢物語~,emperor,蓋然性オルトイズム,編曲,2022-06-15,Vortex Records
spotify:track:04Y7OUBXtvxrTWHlA5NVFL,恋はクレッシェンド,emperor,蓋然性オルトイズム,編曲,2022-06-15,Vortex Records
spotify:track:4ZitpyV6G8XUO0fc8OZh9E,IGNITE,君色Melty step,TEARS~ティアーズ~,編曲,2022-12-21,Vortex Records
spotify:track:1gDKuBJHCllxrFFuH0tXsb,GLOWING BUTTERFLY,Brave Mental Orchestra,Brave Mental Orchestra,作曲,2023-03-20,ロックフィールド
spotify:track:4cMlKc6JRpgDPk7QGRVLXy,あなたに夢CHU (宮花ももソロVer.),ちゅっ,宮花もも,作曲　編曲,2023-04-05,宮花もも
spotify:track:1SOKpjCVGJRbZE0SOKUnNS,Happy (宮花ももソロVer.),ちゅっ,宮花もも,編曲,2023-04-05,宮花もも
spotify:track:1JBynYI1tnGqEiL3pw8uPE,ゼンブゼンブイーター,駆け巡るシーズン,TEARS~ティアーズ~,編曲,2023-06-21,Vortex Records
spotify:track:6xrYvO0zh5oZuHUJ9AIOXb,キミに花空,キミに花空,花宮るい,編曲,2023-07-19,Vortex Records
spotify:track:2ZzW7x8Vx2EV8LXTkM2y6w,禁断Lover,禁断Lover,蓋然性オルトイズム,編曲,2023-08-30,Vortex Records
spotify:track:501DN0kG5UkwhCv5pATAPf,ハッピーエンド,ハッピーエンド,sistersあにま,編曲,2023-08-30,Vortex Records
spotify:track:2ERcJQLhC6cUDuI9ZZNWIO,カーディナル,カーディナル,にとくり。,編曲,2023-09-06,Vortex Records
spotify:track:2ERcJQLhC6cUDuI9ZZNWIO,カーディナル,カーディナル,にとくり。,編曲,2023-09-06,Vortex Records
spotify:track:6RDmqAeNlkQ2I9fgIUvU3M,花言葉～君を忘れない～,花言葉～君を忘れない～,蓋然性オルトイズム,編曲,2023-09-13,Vortex Records
spotify:track:3RPMN4S1pA5UfVGnMHMOvy,欲しがりな僕にkissをして,欲しがりな僕にkissをして,蓋然性オルトイズム,編曲,2023-09-20,Vortex Records
spotify:track:3dgDOqn1WvNa3eahrBvkgL,ナミダの両思い,ナミダの両思い,蓋然性オルトイズム,編曲,2023-09-27,Vortex Records
spotify:track:4KWCNrNMo6JOB5A3dyahBn,お気楽ソング,お気楽ソング,あんだーびーすてぃー,編曲,2023-11-29,Vortex Records
spotify:track:1Vmmm6hJaCWPaOSdf45fuE,シンデレラストーリー,シンデレラストーリー,すぱどり,作曲　編曲,2024-06-17,UTAITE Records
spotify:track:0PQNfY7awB5NXbPmRkjVoJ,JUMP UP,Brave Mental Orchestra 2,Brave Mental Orchestra,作曲,2024-08-26,Brave Mental Orchestra
spotify:track:7yEiVvU8XUi44gtwtlP5d9,サマーヒロイン,Brave Mental Orchestra 2,Brave Mental Orchestra,作曲,2024-08-26,Brave Mental Orchestra
spotify:track:0oyWyNzYKjJCxGKxxbNwjO,Blue Skyの下で恋をした,にとくり。コレクション。,にとくり。,編曲,2024-10-09,Vortex Records
spotify:track:12S7BA1oZZTeNQt6aEGHoU,にとくり。わんだーらんど。,にとくり。コレクション。,にとくり。,編曲,2024-10-09,Vortex Records
spotify:track:1mBhlXdIlMuxmXb6a49570,片想いエフェメラル,にとくり。コレクション。,にとくり。,編曲,2024-10-09,Vortex Records
spotify:track:3xSm5elKieKJOXsXAKDKui,Inertia,Inertia,VITOMME,共作曲　編曲,2024-10-24,VIT Records
spotify:track:65ANBkrpZrt0WvUz0aLt2T,秘密のSummer Days,milu milu! Special,milu milu!,作曲　編曲,2024-12-21,milu milu!
spotify:track:6TcefdCb7IZAwynWb2Dv0I,DANANA,Xeno Symphony,ゼノシンフォニー,編曲,2024-12-25,Vortex Records
spotify:track:4pn4vtW0Fpf5DjVoszSsJJ,If I…,Xeno Symphony,ゼノシンフォニー,編曲,2024-12-25,Vortex Records
spotify:track:17RXwaGHwXpzQkkQ0EKl9o,Sugarcoating,Sugarcoating,VITOMME,共作曲　編曲,2025-04-16,VIT Records
spotify:track:63j9mwxLmmzZKqVQtnEJUT,SUMMER TUNE!!,SUMMER TUNE!!,さのもりの,作曲　編曲,2025-08-24,さのもりの
spotify:track:3SGexS2nsD89wOIVdjuLIE,What love is,What love is,VITOMME,共作曲　編曲,2025-09-25,VIT Records
spotify:track:4ZFTqLise26xUlB1wQ7bA6,スタックオンユ,スタックオンユ,さのもりの,作曲　編曲,2026-01-01,さのもりの
spotify:track:0U5gy8kxS23rDD5rs13fhO,CHARA-CHARA,CHARA-CHARA,さのもりの,作曲　編曲,2026-03-01,さのもりの
spotify:track:6CICeNnd0pf89f44S3V9AO,IDOL-TAISO,IDOL-TAISO,SAKURA GRADUATION,編曲,2026-04-01,Nagoya Dream Records
